dname,drange,reqerr,threshold,c0,c1,c2,Total_retrieve_size,Compression_error
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.01,4.96,0.44,1.13,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.02,4.56,0.51,1.05,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.03,4.56,0.51,1.05,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.04,4.56,0.51,1.05,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.05,4.56,0.51,1.05,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.06,4.56,0.51,1.05,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.07,4.56,0.51,1.05,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.08,4.56,0.51,1.05,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.09,4.56,0.51,1.05,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.1,4.56,0.51,1.05,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.11,0.85,0.45,0.97,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.12,0.85,0.45,0.97,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.13,0.85,0.45,0.97,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.14,3.24,0.42,0.96,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.15,1.08,0.41,0.93,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.16,1.08,0.41,0.93,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.17,1.08,0.41,0.93,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.18,3.9,0.39,0.91,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.19,3.9,0.39,0.91,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.2,4.67,0.38,0.91,27901803,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.21,4.08,0.37,0.89,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.22,4.08,0.37,0.89,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.23,2.14,0.7,0.87,28118212,7.01E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.24,3.77,0.69,0.87,28169812,6.91E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.25,0.51,0.75,0.81,28015012,7.20E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.26,1.28,0.71,0.83,28118212,7.01E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.27,1.04,0.63,0.84,28066612,7.01E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.28,1.66,0.68,0.8,28118212,7.01E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.29,1.66,0.68,0.8,28118212,7.01E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.3,1.83,0.69,0.76,28118212,7.01E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.31,1.83,0.69,0.76,28118212,7.01E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.32,1.83,0.69,0.76,28118212,7.01E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.33,1.22,0.69,0.74,28118212,7.01E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.34,2.28,0.55,0.79,28169812,6.91E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.35,2.28,0.55,0.79,28169812,6.91E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.36,1.29,0.62,0.72,28118212,7.01E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.37,3.7,0.61,0.71,28221412,6.91E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.38,3.7,0.61,0.71,28221412,6.91E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.39,2.99,0.56,0.69,28169812,6.91E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.4,2.99,0.56,0.69,28169812,6.91E-05
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.01,4.83,0.67,0.92,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.02,3.77,0.69,0.87,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.03,3.77,0.69,0.87,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.04,1.3,0.65,0.89,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.05,2.61,0.62,0.89,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.06,1.28,0.71,0.83,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.07,1.46,0.67,0.84,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.08,1.46,0.67,0.84,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.09,1.66,0.71,0.78,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.1,1.66,0.71,0.78,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.11,1.19,0.73,0.76,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.12,1.19,0.73,0.76,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.13,1.83,0.69,0.76,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.14,1.22,0.69,0.74,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.15,1.22,0.69,0.74,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.16,1.22,0.69,0.74,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.17,1.22,0.69,0.74,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.18,1.29,0.62,0.72,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.19,1.29,0.62,0.72,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.2,3.7,0.61,0.71,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.21,3.7,0.61,0.71,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.22,2.99,0.56,0.69,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.23,2.99,0.56,0.69,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.24,1.9,0.59,0.69,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.25,2.62,0.6,0.64,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.26,5.51,0.56,0.64,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.27,1.67,0.57,0.64,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.28,5.51,0.56,0.64,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.29,2.76,0.54,0.62,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.3,0.41,0.58,0.6,16409558,0.00949574
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.31,0.41,0.58,0.6,16409558,0.00949574
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.32,0.41,0.58,0.6,16409558,0.00949574
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.33,3.11,0.54,0.59,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.34,3.11,0.54,0.59,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.35,3.11,0.54,0.59,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.36,0.41,0.58,0.6,16409558,0.00949574
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.37,2.38,0.5,0.54,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.38,2.38,0.5,0.54,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.39,2.38,0.5,0.54,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.4,2.38,0.5,0.54,16505804,0.00967884
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.01,0.65,0.68,1.25,6254047,0.747281
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.02,0.65,0.68,1.25,6254047,0.747281
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.03,0.65,0.68,1.25,6254047,0.747281
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.04,5.31,0.64,1.23,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.05,5.31,0.64,1.23,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.06,5.31,0.64,1.23,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.07,2.37,0.59,1.24,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.08,1.25,0.56,1.24,6300616,0.716031
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.09,1.25,0.56,1.24,6300616,0.716031
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.1,5.38,0.61,1.15,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.11,5.38,0.61,1.15,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.12,2.61,0.56,1.15,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.13,2.61,0.56,1.15,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.14,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.15,0.67,0.51,1.15,6254047,0.747281
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.16,1.05,0.55,1.09,6300616,0.716031
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.17,2.44,0.56,1.06,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.18,2.44,0.56,1.06,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.19,2.44,0.56,1.06,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.2,4.76,0.54,1.03,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.21,4.76,0.54,1.03,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.22,1.25,0.53,0.99,6300616,0.716031
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.23,2.05,0.52,0.99,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.24,2.05,0.52,0.99,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.25,2.05,0.52,0.99,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.26,3.81,0.51,0.95,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.27,0.89,0.5,0.93,6300616,0.716031
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.28,0.89,0.5,0.93,6300616,0.716031
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.29,1.78,0.46,0.93,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.3,1.78,0.46,0.93,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.31,1.78,0.46,0.93,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.32,1.78,0.46,0.93,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.33,1.78,0.46,0.93,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.34,4.68,0.42,0.85,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.35,4.68,0.42,0.85,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.36,4.68,0.42,0.85,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.37,4.68,0.42,0.85,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.38,4.68,0.42,0.85,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.39,4.68,0.42,0.85,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.4,4.68,0.42,0.85,6395111,0.731656
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.01,1.23,0.51,1.17,44411112,0.000248909
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.02,0.67,0.51,1.15,44359512,0.000256538
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.03,0.67,0.51,1.15,44359512,0.000256538
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.04,1.88,0.44,1.16,44462712,0.000248909
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.05,4.7,0.27,1.1,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.06,4.7,0.27,1.1,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.07,4.7,0.27,1.1,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.08,4.7,0.27,1.1,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.09,3.03,0.24,1.08,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.1,2.96,0.23,1.07,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.11,2.96,0.23,1.07,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.12,2.96,0.23,1.07,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.13,5.11,0.23,1.04,44215876,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.14,4.16,0.2,1.03,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.15,4.16,0.2,1.03,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.16,4.16,0.2,1.03,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.17,4.34,0.19,1,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.18,4.04,0.45,0.97,44514312,0.000247955
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.19,3.8,0.21,0.96,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.2,3.8,0.21,0.96,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.21,3.28,0.19,0.95,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.22,3.28,0.19,0.95,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.23,3.28,0.19,0.95,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.24,4.67,0.38,0.91,44565912,0.000248432
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.25,3.7,0.2,0.88,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.26,3.7,0.2,0.88,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.27,4.68,0.42,0.85,44565912,0.000248432
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.28,4.68,0.42,0.85,44565912,0.000248432
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.29,3.7,0.2,0.88,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.3,2.44,0.38,0.82,44514312,0.000247955
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.31,5.05,0.37,0.81,44565912,0.000248432
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.32,5.05,0.37,0.81,44565912,0.000248432
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.33,1.47,0.17,0.79,44112676,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.34,1.47,0.17,0.79,44112676,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.35,0.18,0.39,0.76,44307912,0.000248909
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.36,2.49,0.15,0.78,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.37,0.95,0.34,0.75,44462712,0.000248909
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.38,5.14,0.15,0.76,44215876,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.39,0.95,0.34,0.75,44462712,0.000248909
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.4,0.76,0.25,0.76,44411112,0.000248909
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.01,3.9,0.39,0.91,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.02,3.9,0.39,0.91,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.03,4.67,0.38,0.91,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.04,4.08,0.37,0.89,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.05,4.08,0.37,0.89,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.06,4.08,0.37,0.89,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.07,4.08,0.37,0.89,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.08,4.5,0.34,0.9,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.09,4.5,0.34,0.9,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.1,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.11,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.12,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.13,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.14,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.15,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.16,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.17,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.18,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.19,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.2,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.21,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.22,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.23,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.24,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.25,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.26,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.27,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.28,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.29,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.3,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.31,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.32,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.33,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.34,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.35,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.36,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.37,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.38,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.39,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.4,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.01,4.93,0.44,1.3,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.02,3.49,0.5,1.2,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.03,3.49,0.5,1.2,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.04,3.49,0.5,1.2,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.05,5.54,0.47,1.19,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.06,5.54,0.47,1.19,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.07,5.54,0.47,1.19,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.08,1.88,0.44,1.16,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.09,1.88,0.44,1.16,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.1,3.98,0.44,1.11,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.11,3.98,0.44,1.11,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.12,3.98,0.44,1.11,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.13,0.44,0.44,1.08,5168938,2.49557
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.14,0.44,0.44,1.08,5168938,2.49557
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.15,0.44,0.44,1.08,5168938,2.49557
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.16,1.26,0.4,1.08,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.17,1.26,0.4,1.08,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.18,1.26,0.4,1.08,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.19,2.02,0.35,1.05,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.2,2.02,0.35,1.05,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.21,2.02,0.35,1.05,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.22,2.83,0.38,0.98,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.23,2.83,0.38,0.98,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.24,2.83,0.38,0.98,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.25,1.72,0.35,0.94,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.26,4.67,0.38,0.91,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.27,4.67,0.38,0.91,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.28,4.08,0.37,0.89,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.29,4.08,0.37,0.89,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.3,4.08,0.37,0.89,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.31,4.08,0.37,0.89,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.32,5.16,0.35,0.84,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.33,5.16,0.35,0.84,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.34,5.16,0.35,0.84,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.35,5.16,0.35,0.84,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.36,5.16,0.35,0.84,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.37,5.16,0.35,0.84,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.38,5.16,0.35,0.84,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.39,5.16,0.35,0.84,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.4,5.16,0.35,0.84,5375338,2.48775
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.01,5.05,0.19,1.22,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.02,0.67,0.51,1.15,47306009,0.000249863
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.03,0.67,0.51,1.15,47306009,0.000249863
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.04,4.7,0.27,1.1,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.05,4.7,0.27,1.1,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.06,4.7,0.27,1.1,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.07,4.7,0.27,1.1,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.08,4.7,0.27,1.1,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.09,3.03,0.24,1.08,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.1,2.96,0.23,1.07,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.11,2.96,0.23,1.07,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.12,5.11,0.23,1.04,47162373,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.13,5.11,0.23,1.04,47162373,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.14,4.16,0.2,1.03,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.15,4.16,0.2,1.03,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.16,4.16,0.2,1.03,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.17,4.34,0.19,1,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.18,3.8,0.21,0.96,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.19,3.8,0.21,0.96,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.2,3.8,0.21,0.96,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.21,1.08,0.41,0.93,47357609,0.000244141
